,Station,City,Code,TOD,County,Marker,geometry,buffer_polygon
0,ASHBY,Berkeley,BKY,Yes,ALA,D,POINT (-122.270118961256 37.85320737912847),"POLYGON ((563770.9742351742 4188779.586837385, 563448.5925439766 4188785.923224708, 563280.516007694 4188791.484194979, 563230.6852246224 4188909.548109388, 563217.780823112 4189026.875566273, 563219.8979524643 4189129.073019019, 563228.8830329688 4189389.482847299, 563264.0108807457 4189525.920977762, 563476.3510228164 4189492.230059072, 564036.9157353082 4189170.030959152, 564020.3892703824 4189051.831573394, 564014.4731491992 4189025.166613868, 563889.5612187767 4188861.784905384, 563845.094932396 4188821.727354296, 563784.1633662152 4188779.65592902, 563770.9742351742 4188779.586837385))"
1,MACARTHUR,Oakland,OAK,Yes,ALA,D,POINT (-122.2671204423298 37.82870504860035),"POLYGON ((563693.8852295046 4186061.965723997, 563558.1604554863 4186080.155637871, 563548.5449657915 4186082.932934198, 563503.7047615518 4186232.700956589, 563537.2015270612 4186655.597084557, 563547.6006853161 4186657.241956045, 563746.7802247365 4186507.581852716, 563860.2978823795 4186417.299915866, 564032.0092963269 4186081.246313256, 563693.8852295046 4186061.965723997))"
2,HAYWARD,Hayward,HAY,Yes,ALA,D,POINT (-122.0872041225795 37.67012395770405),"POLYGON ((580092.9554610827 4168606.360613972, 580068.0991164985 4168607.118570593, 579940.176039226 4168611.650991567, 579589.5769854728 4168987.096431958, 579543.2558888256 4169037.925135131, 579514.2465043543 4169071.699617021, 579507.8845200446 4169082.035351608, 579503.6808982727 4169093.568013435, 579705.5253594173 4169150.82449981, 580129.4511547575 4168906.493924162, 580193.4703493441 4168753.879119799, 580194.331175697 4168703.312032792, 580169.9900600568 4168644.578086924, 580131.0588316756 4168615.850592537, 580092.9554610827 4168606.360613972))"
3,SOUTH HAYWARD,Hayward,HAY,Yes,ALA,D,POINT (-122.0570371223887 37.63448308171746),"POLYGON ((582418.4676641112 4164677.51896479, 582255.1349740224 4164716.783620376, 582246.5707775966 4164720.70420131, 582242.5093669092 4164724.436494574, 582241.0301218621 4164730.31376514, 582225.1078941397 4164795.333395966, 582205.8351189202 4165005.854610382, 582204.3061966267 4165246.955054233, 582220.0126075362 4165258.673027507, 582624.554995558 4165390.592771727, 582979.7771605281 4164999.172009577, 582869.2513780113 4164874.932794007, 582717.2575540337 4164777.543683338, 582678.8644275193 4164753.115246172, 582571.8868210814 4164721.877836926, 582418.4676641112 4164677.51896479))"
4,FRUITVALE,Oakland,OAK,Yes,ALA,D,POINT (-122.2241970605756 37.7745594457182),"POLYGON ((567336.267085615 4180096.87365391, 567329.5002056386 4180257.729018054, 567338.9748311181 4180387.416016729, 567403.6812401079 4180494.786256659, 567498.5344119046 4180481.848492306, 567753.353951792 4180398.791241237, 567892.8205686171 4180278.052275781, 567954.8531921845 4180125.763762476, 567336.267085615 4180096.87365391))"
5,NORTH BERKELEY,Berkeley,BKY,No,ALA,o,POINT (-122.2833478818116 37.87406119527159),"POLYGON ((562158.4961938841 4191096.300319521, 562040.3310569943 4191149.010332135, 562038.4195385264 4191156.35240083, 562095.6411706579 4191328.314970151, 562157.2585920532 4191495.595597712, 562446.7539997381 4191246.894221959, 562363.652479908 4191104.846482046, 562332.5934412275 4191096.577253446, 562158.4961938841 4191096.300319521))"
6,19TH STREET/OAKLAND,Oakland,OAK,No,ALA,o,POINT (-122.2683865548407 37.80807541555893),"POLYGON ((563608.8389169731 4183769.339677225, 563490.1795154461 4183789.183453738, 563409.3274094039 4183866.019222683, 563405.5238552971 4184052.286892091, 563461.0511209456 4184247.455828844, 563527.8713196539 4184280.626152963, 563615.3689053201 4184314.067829511, 563722.8000224431 4184269.872676563, 563907.1775285138 4184096.511628062, 563971.2615774869 4183982.157702907, 563974.7684491662 4183969.336114421, 563979.4955265124 4183778.049283558, 563608.8389169731 4183769.339677225))"
7,BAY FAIR,San Leandro,SAN,No,ALA,o,POINT (-122.1270598609447 37.69756643943262),"POLYGON ((576458.9770771035 4171618.447772438, 576395.1041749358 4171633.402281523, 576389.0352081646 4171637.473839696, 576384.3575703086 4171644.609635278, 576385.9557437693 4171655.820165697, 576387.2396923034 4171664.775325418, 576397.8544051966 4171705.972658151, 576404.5626074144 4171722.4011342, 576408.4252846141 4171727.108227619, 576409.2450406936 4171728.092247647, 576703.8942437905 4171920.007711384, 576710.0493057107 4171741.420776354, 576703.8125139904 4171734.117246029, 576458.9770771035 4171618.447772438))"
8,UNION CITY,Union City,UNC,No,ALA,o,POINT (-122.0171510308484 37.59086511064515),"POLYGON ((586339.0999929304 4159876.292845242, 586107.2735200869 4159878.45434976, 585958.3063019572 4159909.46484655, 585835.9124905334 4160041.049909578, 585776.2194627842 4160122.087932169, 585795.1043839223 4160193.242347881, 585904.0061584854 4160295.731922208, 586311.7620184544 4160457.318885404, 586379.4443393041 4160480.182453542, 586391.8269340539 4160475.662205011, 586456.71035885 4160439.188849637, 586513.044250814 4160215.059113717, 586480.9174020583 4159995.954344846, 586430.9209041774 4159928.834706041, 586339.0999929304 4159876.292845242))"
9,LAKE MERRITT,Oakland,OAK,No,ALA,o,POINT (-122.2655408635988 37.79767921902084),"POLYGON ((563781.1147714683 4182741.967714277, 563820.5732578423 4183570.801127716, 564165.4072052487 4183734.10410084, 564234.3879738644 4183708.367533441, 564322.2258233556 4183624.370971174, 564414.5490302105 4183283.610873294, 564376.5726034614 4183204.933558327, 563781.1147714683 4182741.967714277))"
