,index_right,iqv_2019_sq,iqv_2013_sq,Name
0,961.0,0.8076199358653118,0.7792753848826676,ASHBY
1,520.0967741935484,0.798501084411601,0.7646353977039371,MACARTHUR
2,4988.0,0.8014180231554721,0.6734151777826315,HAYWARD
3,5375.888888888889,0.7538409053830137,0.7202617482017368,SOUTH HAYWARD
4,2513.5454545454545,0.611172818989652,0.6331571789809829,FRUITVALE
5,3115.2608695652175,0.8042337756028501,0.7055024982132369,NORTH BERKELEY
6,928.6,0.7571925420587642,0.6579185920786299,19TH STREET/OAKLAND
7,4494.076923076923,0.5963380456568543,0.8068281707576196,BAY FAIR
8,5691.962962962963,0.7089048909826816,0.6992728599853364,UNION CITY
9,1474.74,0.6955690884661762,0.6800328787006648,LAKE MERRITT
